fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_shots_on_goal,away_shots_on_goal,home_total_shots,away_total_shots,home_ball_possession,away_ball_possession,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_expected_goals,away_expected_goals
1213754,2024-08-16T18:45:00+00:00,61,2024,111,Le Havre,85,Paris Saint Germain,1,4,FT,4-3-3,4-3-3,4-3-3 vs 4-3-3,1,3,-2,2,10,5,15,24,76,2,8,11,9,3.0,0.0,,,0.21,2.87
1213747,2024-08-17T15:00:00+00:00,61,2024,106,Stade Brestois 29,81,Marseille,1,5,FT,4-3-3,4-2-3-1,4-3-3 vs 4-2-3-1,2,6,-4,7,5,10,7,50,50,5,0,12,8,4.0,1.0,,,1.32,2.38
1213752,2024-08-17T17:00:00+00:00,61,2024,93,Reims,79,Lille,0,2,FT,4-3-3,5-4-1,4-3-3 vs 5-4-1,3,5,-2,0,6,2,22,31,69,0,8,6,15,2.0,2.0,1.0,0.0,0.07,2.1
1213751,2024-08-17T19:00:00+00:00,61,2024,91,Monaco,1063,Saint Etienne,1,0,FT,4-4-2,4-1-4-1,4-4-2 vs 4-1-4-1,2,1,1,6,4,17,11,62,38,5,4,13,14,1.0,1.0,,,1.96,0.45
1213753,2024-08-18T13:00:00+00:00,61,2024,108,Auxerre,84,Nice,2,1,FT,4-4-2,3-4-3,4-4-2 vs 3-4-3,1,4,-3,7,2,16,9,45,55,3,5,11,17,,,,,1.96,0.71
1213750,2024-08-18T15:00:00+00:00,61,2024,77,Angers,116,Lens,0,1,FT,5-3-2,3-4-1-2,5-3-2 vs 3-4-1-2,4,5,-1,3,4,8,10,41,59,7,3,12,14,1.0,0.0,,,0.39,1.23
1213748,2024-08-18T15:00:00+00:00,61,2024,82,Montpellier,95,Strasbourg,1,1,FT,4-2-3-1,3-4-2-1,4-2-3-1 vs 3-4-2-1,3,1,2,5,4,8,11,42,58,6,4,19,18,4.0,3.0,,,1.41,0.91
1213749,2024-08-18T15:00:00+00:00,61,2024,96,Toulouse,83,Nantes,0,0,FT,3-4-3,4-2-3-1,3-4-3 vs 4-2-3-1,0,0,0,6,2,12,10,54,46,10,5,14,11,1.0,3.0,,,1.71,0.47
1213755,2024-08-18T18:45:00+00:00,61,2024,94,Rennes,80,Lyon,3,0,FT,4-3-1-2,4-3-3,4-3-1-2 vs 4-3-3,1,2,-1,8,2,22,16,48,52,7,7,13,12,2.0,1.0,,,2.05,2.06
1213756,2024-08-23T18:45:00+00:00,61,2024,85,Paris Saint Germain,82,Montpellier,6,0,FT,4-3-3,5-3-2,4-3-3 vs 5-3-2,8,2,6,11,3,27,8,69,31,10,2,11,17,1.0,4.0,,,3.82,0.63
1213763,2024-08-24T15:00:00+00:00,61,2024,80,Lyon,91,Monaco,0,2,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,0,2,-2,0,6,1,21,39,61,0,6,19,9,2.0,3.0,0.0,1.0,0.03,2.26
1213760,2024-08-24T17:00:00+00:00,61,2024,79,Lille,77,Angers,2,0,FT,3-4-2-1,5-3-2,3-4-2-1 vs 5-3-2,6,2,4,6,2,11,6,65,35,3,2,9,18,1.0,2.0,,,0.88,0.58
1213759,2024-08-24T19:00:00+00:00,61,2024,1063,Saint Etienne,111,Le Havre,0,2,FT,4-1-4-1,5-4-1,4-1-4-1 vs 5-4-1,0,1,-1,5,5,19,14,59,41,2,4,12,10,3.0,3.0,,,1.11,2.38
1213762,2024-08-25T13:00:00+00:00,61,2024,116,Lens,106,Stade Brestois 29,2,0,FT,3-4-1-2,4-3-3,3-4-1-2 vs 4-3-3,4,1,3,9,2,20,11,52,48,5,2,10,7,2.0,3.0,1.0,0.0,2.97,0.86
1213758,2024-08-25T15:00:00+00:00,61,2024,83,Nantes,108,Auxerre,2,0,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,4,5,-1,5,3,9,12,35,65,3,12,9,6,2.0,1.0,0.0,1.0,1.44,1.11
1213761,2024-08-25T15:00:00+00:00,61,2024,84,Nice,96,Toulouse,1,1,FT,3-5-2,3-4-2-1,3-5-2 vs 3-4-2-1,4,0,4,3,3,11,15,58,42,4,4,12,21,4.0,2.0,,,1.28,0.98
