fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_formation_stability_5,home_recent_formations_count,home_api_possession_5,home_api_yellow_cards_5,home_api_red_cards_5,home_api_shots_on_goal_for_5,home_api_shots_on_goal_against_5,home_api_total_shots_for_5,home_api_total_shots_against_5,home_api_expected_goals_for_5,home_api_expected_goals_against_5,home_api_corners_for_5,home_api_corners_against_5,away_formation_stability_5,away_recent_formations_count,away_api_possession_5,away_api_yellow_cards_5,away_api_red_cards_5,away_api_shots_on_goal_for_5,away_api_shots_on_goal_against_5,away_api_total_shots_for_5,away_api_total_shots_against_5,away_api_expected_goals_for_5,away_api_expected_goals_against_5,away_api_corners_for_5,away_api_corners_against_5,api_shots_on_goal_diff_5,api_total_shots_diff_5,api_expected_goals_diff_5,api_corners_diff_5,api_possession_diff_5,formation_stability_diff_5,home_expected_goals,away_expected_goals,home_team_formation_matches_before,home_team_formation_win_rate_before,home_team_formation_draw_rate_before,home_team_formation_loss_rate_before,home_team_formation_xg_for_avg_before,home_team_formation_xg_against_avg_before,home_team_formation_goal_diff_avg_before,away_team_formation_matches_before,away_team_formation_win_rate_before,away_team_formation_draw_rate_before,away_team_formation_loss_rate_before,away_team_formation_xg_for_avg_before,away_team_formation_xg_against_avg_before,away_team_formation_goal_diff_avg_before,formation_matchup_matches_before,formation_matchup_home_win_rate_before,formation_matchup_draw_rate_before,formation_matchup_away_win_rate_before,formation_matchup_avg_total_goals_before,formation_matchup_avg_xg_total_before,home_formation_signal_strength,away_formation_signal_strength,matchup_signal_strength
1387706,2025-08-15 18:45:00+00:00,61,2025,94,Rennes,81,Marseille,1,0,FT,5-3-2,3-2-4-1,5-3-2 vs 3-2-4-1,2,2,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1.47,1.71,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1387701,2025-08-16 15:00:00+00:00,61,2025,116,Lens,80,Lyon,0,1,FT,3-4-2-1,4-2-3-1,3-4-2-1 vs 4-2-3-1,3,4,-1,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1.38,1.41,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1387703,2025-08-16 17:00:00+00:00,61,2025,91,Monaco,111,Le Havre,3,1,FT,4-2-3-1,4-1-4-1,4-2-3-1 vs 4-1-4-1,3,3,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1.76,0.6,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1387705,2025-08-16 19:05:00+00:00,61,2025,84,Nice,96,Toulouse,0,1,FT,3-4-2-1,3-4-3,3-4-2-1 vs 3-4-3,8,6,2,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.79,0.61,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1387700,2025-08-17 13:00:00+00:00,61,2025,106,Stade Brestois 29,79,Lille,3,3,FT,4-3-3,4-2-3-1,4-3-3 vs 4-2-3-1,3,4,-1,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2.01,1.62,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1387698,2025-08-17 15:15:00+00:00,61,2025,77,Angers,114,Paris FC,1,0,FT,3-4-2-1,4-4-2,3-4-2-1 vs 4-4-2,0,1,-1,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.97,0.92,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1387699,2025-08-17 15:15:00+00:00,61,2025,108,Auxerre,97,Lorient,1,0,FT,5-4-1,3-4-3,5-4-1 vs 3-4-3,2,4,-2,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1.44,1.37,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1387702,2025-08-17 15:15:00+00:00,61,2025,112,Metz,95,Strasbourg,0,1,FT,5-3-2,5-3-2,5-3-2 vs 5-3-2,3,7,-4,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.3,0.62,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1387704,2025-08-17 18:45:00+00:00,61,2025,83,Nantes,85,Paris Saint Germain,0,1,FT,4-1-4-1,4-3-3,4-1-4-1 vs 4-3-3,0,2,-2,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.14,1.43,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1387713,2025-08-22 18:45:00+00:00,61,2025,85,Paris Saint Germain,77,Angers,1,0,FT,4-3-3,3-5-2,4-3-3 vs 3-5-2,2,1,1,1.0,1,71.0,1.0,,4.0,0.0,18.0,5.0,1.43,0.14,7.0,2.0,1.0,1,32.0,2.0,1.0,2.0,7.0,8.0,17.0,0.97,0.92,3.0,7.0,2.0,10.0,0.4599999999999999,4.0,39.0,0.0,1.85,0.24,1,1.0,0.0,0.0,1.43,0.14,1.0,0,,,,,,,0,,,,,,weak,weak,weak
1387711,2025-08-23 15:00:00+00:00,61,2025,81,Marseille,114,Paris FC,5,2,FT,4-2-3-1,4-3-3,4-2-3-1 vs 4-3-3,4,0,4,1.0,1,72.0,3.0,0.0,2.0,5.0,24.0,12.0,1.71,1.47,12.0,1.0,1.0,1,68.0,1.0,0.0,7.0,2.0,17.0,8.0,0.92,0.97,7.0,3.0,-5.0,7.0,0.7899999999999999,5.0,4.0,0.0,2.83,1.09,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
