fixture_id,team_id,team_name,is_home,formation,coach_name,startXI_count,substitutes_count,startXI_players,substitutes_players
1552733,81,Marseille,True,4-2-3-1,Bruno Genesio,11,9,"[{""id"":36827,""name"":""J. De Lange"",""number"":12,""pos"":""G""},{""id"":1138,""name"":""T. Weah"",""number"":22,""pos"":""D""},{""id"":181827,""name"":""C. Egan-Riley"",""number"":4,""pos"":""D""},{""id"":926,""name"":""G. Kondogbia"",""number"":19,""pos"":""D""},{""id"":2284,""name"":""Emerson"",""number"":33,""pos"":""D""},{""id"":20692,""name"":""H. Abdelli"",""number"":8,""pos"":""M""},{""id"":2735,""name"":""P. Hojbjerg"",""number"":23,""pos"":""M""},{""id"":412,""name"":""A. Harit"",""number"":77,""pos"":""M""},{""id"":896,""name"":""A. Gomes"",""number"":7,""pos"":""M""},{""id"":9363,""name"":""I. Paixao"",""number"":14,""pos"":""M""},{""id"":85041,""name"":""A. Gouiri"",""number"":9,""pos"":""F""}]","[{""id"":129672,""name"":""T. Vermot"",""number"":92,""pos"":""G""},{""id"":21694,""name"":""N. Aguerd"",""number"":21,""pos"":""D""},{""id"":51295,""name"":""D. Cornelius"",""number"":13,""pos"":""D""},{""id"":520840,""name"":""K. Bezahaf"",""number"":74,""pos"":""D""},{""id"":943,""name"":""U. Garcia"",""number"":25,""pos"":""D""},{""id"":354298,""name"":""T. Nnadi"",""number"":6,""pos"":""M""},{""id"":511641,""name"":""T. Mmadi"",""number"":43,""pos"":""F""},{""id"":449158,""name"":""K. Abdallah"",""number"":48,""pos"":""F""},{""id"":19364,""name"":""N. Maupay"",""number"":11,""pos"":""F""}]"
1552733,95,Strasbourg,False,4-2-3-1,Hugo Oliveira,11,9,"[{""id"":286616,""name"":""F. Jorgensen"",""number"":1,""pos"":""G""},{""id"":161747,""name"":""G. Doue"",""number"":22,""pos"":""D""},{""id"":147835,""name"":""A. Omobamidele"",""number"":2,""pos"":""D""},{""id"":396193,""name"":""L. Hogsberg"",""number"":24,""pos"":""D""},{""id"":398000,""name"":""G. Antwi"",""number"":16,""pos"":""D""},{""id"":400510,""name"":""D. Sousa"",""number"":23,""pos"":""M""},{""id"":415431,""name"":""S. El Mourabet"",""number"":29,""pos"":""M""},{""id"":334035,""name"":""S. Amo-Ameyaw"",""number"":7,""pos"":""M""},{""id"":226803,""name"":""S. Nanasi"",""number"":11,""pos"":""M""},{""id"":369544,""name"":""G. Yassine"",""number"":80,""pos"":""M""},{""id"":190686,""name"":""S. Mara"",""number"":14,""pos"":""F""}]","[{""id"":374727,""name"":""M. Piekutowski"",""number"":12,""pos"":""G""},{""id"":297583,""name"":""J. Mitchell"",""number"":4,""pos"":""D""},{""id"":161921,""name"":""G. Reyna"",""number"":10,""pos"":""M""},{""id"":339417,""name"":""P. Demba"",""number"":21,""pos"":""M""},{""id"":395762,""name"":""M. Amougou"",""number"":17,""pos"":""M""},{""id"":355256,""name"":""M. Del Blanco"",""number"":15,""pos"":""D""},{""id"":380939,""name"":""F. Balde"",""number"":19,""pos"":""F""},{""id"":488976,""name"":""G. Kodia"",""number"":37,""pos"":""F""},{""id"":561010,""name"":""J. Ortega"",""number"":30,""pos"":""F""}]"
1552732,116,Lens,True,3-4-2-1,Dino Toppmoller,11,9,"[{""id"":347211,""name"":""R. Risser"",""number"":40,""pos"":""G""},{""id"":178708,""name"":""M. Nawrocki"",""number"":3,""pos"":""D""},{""id"":369500,""name"":""I. Ganiou"",""number"":25,""pos"":""D""},{""id"":437139,""name"":""S. Sagnan"",""number"":31,""pos"":""D""},{""id"":44594,""name"":""S. Abdulhamid"",""number"":23,""pos"":""M""},{""id"":25634,""name"":""M. Cuisance"",""number"":27,""pos"":""M""},{""id"":327599,""name"":""Y. Titraoui"",""number"":8,""pos"":""M""},{""id"":20525,""name"":""M. Udol"",""number"":14,""pos"":""M""},{""id"":1922,""name"":""F. Thauvin"",""number"":10,""pos"":""F""},{""id"":202951,""name"":""F. Ivanovic"",""number"":29,""pos"":""F""},{""id"":277191,""name"":""A. Sima"",""number"":19,""pos"":""F""}]","[{""id"":646,""name"":""M. Gorgelin"",""number"":16,""pos"":""G""},{""id"":2929,""name"":""T. Hazard"",""number"":9,""pos"":""M""},{""id"":1153,""name"":""A. Haidara"",""number"":21,""pos"":""M""},{""id"":394950,""name"":""A. Bulatovic"",""number"":5,""pos"":""M""},{""id"":660571,""name"":""M. Soares"",""number"":38,""pos"":null},{""id"":40809,""name"":""M. Skoras"",""number"":22,""pos"":""F""},{""id"":20761,""name"":""F. Sotoca"",""number"":7,""pos"":""F""},{""id"":1135,""name"":""O. Edouard"",""number"":11,""pos"":""F""},{""id"":443579,""name"":""R. Fofana"",""number"":18,""pos"":""F""}]"
1552732,108,Auxerre,False,4-3-3,Christophe Pelissier,11,9,"[{""id"":134264,""name"":""M. Diop"",""number"":23,""pos"":""G""},{""id"":193953,""name"":""L. Sy"",""number"":27,""pos"":""D""},{""id"":162466,""name"":""S. Diomande"",""number"":20,""pos"":""D""},{""id"":412926,""name"":""C. Makosso"",""number"":15,""pos"":""D""},{""id"":191189,""name"":""C. Akpa"",""number"":92,""pos"":""D""},{""id"":152418,""name"":""N. Ahamada"",""number"":8,""pos"":""M""},{""id"":371950,""name"":""A. Piedfort"",""number"":46,""pos"":""M""},{""id"":323625,""name"":""K. Danois"",""number"":5,""pos"":""M""},{""id"":84082,""name"":""R. Faivre"",""number"":21,""pos"":""F""},{""id"":19625,""name"":""D. Namaso"",""number"":10,""pos"":""F""},{""id"":490095,""name"":""A. Zossou"",""number"":77,""pos"":""F""}]","[{""id"":8657,""name"":""P. Nardi"",""number"":1,""pos"":""G""},{""id"":215827,""name"":""F. Oppegard"",""number"":22,""pos"":""D""},{""id"":496787,""name"":""E. Legros"",""number"":35,""pos"":""D""},{""id"":669875,""name"":""S. Danfakha"",""number"":45,""pos"":""D""},{""id"":551415,""name"":""T. Devernois"",""number"":36,""pos"":""M""},{""id"":629378,""name"":""L. Dioubate"",""number"":34,""pos"":""M""},{""id"":174915,""name"":""J. Casimir"",""number"":7,""pos"":""F""},{""id"":322595,""name"":""L. Coulibaly"",""number"":18,""pos"":""M""},{""id"":535436,""name"":""R. Mandengue"",""number"":32,""pos"":null}]"
1552734,84,Nice,True,3-4-2-1,Olivier Pantaloni,11,9,"[{""id"":20566,""name"":""Y. Diouf"",""number"":23,""pos"":""G""},{""id"":313937,""name"":""A. Mendy"",""number"":33,""pos"":""D""},{""id"":3099,""name"":""Y. Ndayishimiye"",""number"":55,""pos"":""D""},{""id"":668717,""name"":""X. Mandza Tsiendi"",""number"":35,""pos"":""D""},{""id"":25008,""name"":""J. Clauss"",""number"":92,""pos"":""M""},{""id"":504157,""name"":""D. Coulibaly"",""number"":39,""pos"":""M""},{""id"":442866,""name"":""E. Pereira"",""number"":87,""pos"":""M""},{""id"":162465,""name"":""M. Bard"",""number"":26,""pos"":""M""},{""id"":20529,""name"":""G. Hein"",""number"":7,""pos"":""F""},{""id"":107,""name"":""S. Diop"",""number"":10,""pos"":""F""},{""id"":362470,""name"":""Z. Diallo"",""number"":44,""pos"":""F""}]","[{""id"":175171,""name"":""T. Boulhendi"",""number"":77,""pos"":""G""},{""id"":196343,""name"":""M. Abdelmonem"",""number"":5,""pos"":""D""},{""id"":611321,""name"":""B. Mantsounga"",""number"":36,""pos"":""D""},{""id"":417914,""name"":""H. Koutoune"",""number"":84,""pos"":""D""},{""id"":22148,""name"":""N. Ngoumou"",""number"":29,""pos"":""F""},{""id"":444561,""name"":""I. Camara"",""number"":22,""pos"":""M""},{""id"":670540,""name"":""A. Camara"",""number"":38,""pos"":""M""},{""id"":105154,""name"":""I. Jansson"",""number"":21,""pos"":""F""},{""id"":274312,""name"":""M. Cho"",""number"":25,""pos"":""F""}]"
1552734,97,Lorient,False,3-4-2-1,Alexandre Dujeux,11,9,"[{""id"":1142,""name"":""Y. Mvogo"",""number"":38,""pos"":""G""},{""id"":193507,""name"":""D. Sylla"",""number"":20,""pos"":""D""},{""id"":50030,""name"":""M. Talbi"",""number"":3,""pos"":""D""},{""id"":214310,""name"":""N. Adjei"",""number"":32,""pos"":""D""},{""id"":174703,""name"":""T. Le Bris"",""number"":11,""pos"":""M""},{""id"":23363,""name"":""N. Cadiou"",""number"":8,""pos"":""M""},{""id"":402265,""name"":""A. Avom"",""number"":62,""pos"":""M""},{""id"":402386,""name"":""A. Kouassi"",""number"":43,""pos"":""M""},{""id"":483118,""name"":""G. Bernardeau"",""number"":33,""pos"":""F""},{""id"":22171,""name"":""J. Makengo"",""number"":17,""pos"":""F""},{""id"":608028,""name"":""M. Kone"",""number"":42,""pos"":""F""}]","[{""id"":22241,""name"":""B. Kamara"",""number"":21,""pos"":""G""},{""id"":85773,""name"":""A. Georgen"",""number"":2,""pos"":""D""},{""id"":195893,""name"":""I. Toure"",""number"":95,""pos"":""D""},{""id"":384112,""name"":""P. Katseris"",""number"":77,""pos"":""D""},{""id"":629869,""name"":""D. Semedo"",""number"":23,""pos"":""M""},{""id"":162018,""name"":""B. Fadiga"",""number"":7,""pos"":""M""},{""id"":298006,""name"":""N. Mbamba"",""number"":72,""pos"":""M""},{""id"":353771,""name"":""S. Faye"",""number"":19,""pos"":""F""},{""id"":72457,""name"":""A. Tosin"",""number"":15,""pos"":""F""}]"
1552736,96,Toulouse,True,4-2-3-1,Jens Askou,11,9,"[{""id"":325346,""name"":""G. Restes"",""number"":16,""pos"":""G""},{""id"":437174,""name"":""I. Diallo"",""number"":94,""pos"":""D""},{""id"":50735,""name"":""M. McKenzie"",""number"":3,""pos"":""D""},{""id"":15793,""name"":""R. Nicolaisen"",""number"":2,""pos"":""D""},{""id"":472266,""name"":""C. Tape"",""number"":12,""pos"":""D""},{""id"":50956,""name"":""C. Casseres"",""number"":23,""pos"":""M""},{""id"":25533,""name"":""N. Schmidt"",""number"":31,""pos"":""M""},{""id"":457025,""name"":""J. Vignolo"",""number"":7,""pos"":""M""},{""id"":386277,""name"":""T. Jorgensen"",""number"":8,""pos"":""M""},{""id"":84128,""name"":""Y. Gboho"",""number"":10,""pos"":""M""},{""id"":362741,""name"":""S. Hidalgo"",""number"":9,""pos"":""F""}]","[{""id"":551204,""name"":""M. Niflore"",""number"":60,""pos"":""G""},{""id"":394740,""name"":""D. Odogu"",""number"":19,""pos"":""D""},{""id"":489905,""name"":""S. Koumbassa"",""number"":5,""pos"":""D""},{""id"":304140,""name"":""M. Sauer"",""number"":77,""pos"":""M""},{""id"":334952,""name"":""R. Messali"",""number"":22,""pos"":""M""},{""id"":551200,""name"":""M. Saka"",""number"":28,""pos"":""M""},{""id"":489903,""name"":""I. Azizi"",""number"":37,""pos"":""F""},{""id"":508069,""name"":""S. Oppong"",""number"":11,""pos"":""F""},{""id"":203428,""name"":""J. Russell-Rowe"",""number"":13,""pos"":""F""}]"
1552736,80,Lyon,False,4-3-3,Paulo Fonseca,11,9,"[{""id"":20762,""name"":""R. Descamps"",""number"":40,""pos"":""G""},{""id"":396380,""name"":""Z. Athekame"",""number"":13,""pos"":""D""},{""id"":7147,""name"":""F. Bacher"",""number"":20,""pos"":""D""},{""id"":68,""name"":""C. Mata"",""number"":22,""pos"":""D""},{""id"":412049,""name"":""M. Ouedraogo"",""number"":76,""pos"":""D""},{""id"":162189,""name"":""M. Bidstrup"",""number"":2,""pos"":""M""},{""id"":438692,""name"":""M. de Carvalho"",""number"":39,""pos"":""M""},{""id"":361352,""name"":""N. Nartey"",""number"":99,""pos"":""M""},{""id"":405237,""name"":""K. Boudache"",""number"":26,""pos"":""F""},{""id"":497617,""name"":""R. Himbert"",""number"":45,""pos"":""F""},{""id"":368230,""name"":""J. Duranville"",""number"":24,""pos"":""F""}]","[{""id"":61142,""name"":""D. Greif"",""number"":1,""pos"":""G""},{""id"":529,""name"":""N. Tagliafico"",""number"":3,""pos"":""D""},{""id"":519,""name"":""C. Tolisso"",""number"":8,""pos"":""M""},{""id"":162590,""name"":""T. Morton"",""number"":23,""pos"":""M""},{""id"":80752,""name"":""T. Tessmann"",""number"":6,""pos"":""M""},{""id"":66387,""name"":""P. Sulc"",""number"":10,""pos"":""M""},{""id"":361348,""name"":""M. Fofana"",""number"":11,""pos"":""F""},{""id"":350856,""name"":""E. Nuamah"",""number"":7,""pos"":""F""},{""id"":86,""name"":""L. Openda"",""number"":17,""pos"":""F""}]"
1552737,110,Estac Troyes,True,4-3-3,Stephane Dumont,11,9,"[{""id"":353883,""name"":""P. Beach"",""number"":33,""pos"":""G""},{""id"":395810,""name"":""Y. Titi"",""number"":44,""pos"":""D""},{""id"":20715,""name"":""A. Monfray"",""number"":6,""pos"":""D""},{""id"":365742,""name"":""J. M. Diaz"",""number"":4,""pos"":""D""},{""id"":442933,""name"":""A. Ouzenadji"",""number"":3,""pos"":""D""},{""id"":21386,""name"":""I. Gomis"",""number"":11,""pos"":""M""},{""id"":335162,""name"":""M. Diop"",""number"":8,""pos"":""M""},{""id"":338201,""name"":""H. Picard"",""number"":22,""pos"":""M""},{""id"":275478,""name"":""M. Ifnaoui"",""number"":10,""pos"":""F""},{""id"":21451,""name"":""R. Ripart"",""number"":20,""pos"":""F""},{""id"":158516,""name"":""K. Diawara"",""number"":7,""pos"":""F""}]","[{""id"":20873,""name"":""H. Konate"",""number"":40,""pos"":""G""},{""id"":613201,""name"":""N. Donkor"",""number"":31,""pos"":""D""},{""id"":859,""name"":""P. Gozzi"",""number"":5,""pos"":""D""},{""id"":1913,""name"":""A. Phliponeau"",""number"":26,""pos"":""M""},{""id"":174806,""name"":""A. Mille"",""number"":17,""pos"":""M""},{""id"":322865,""name"":""D. Karim"",""number"":29,""pos"":""M""},{""id"":570210,""name"":""C. Batola"",""number"":37,""pos"":""F""},{""id"":670620,""name"":""Y. Kone"",""number"":39,""pos"":""F""},{""id"":673793,""name"":""I. Soukouna"",""number"":36,""pos"":""M""}]"
1552737,114,Paris FC,False,4-2-3-1,Liam Rosenior,11,9,"[{""id"":1800,""name"":""K. Trapp"",""number"":1,""pos"":""G""},{""id"":84218,""name"":""A. Camara"",""number"":17,""pos"":""D""},{""id"":342063,""name"":""D. Coppola"",""number"":42,""pos"":""D""},{""id"":174881,""name"":""M. Mbow"",""number"":5,""pos"":""D""},{""id"":266013,""name"":""Otavio"",""number"":6,""pos"":""D""},{""id"":496896,""name"":""R. Matondo"",""number"":23,""pos"":""M""},{""id"":22170,""name"":""P. Lees-Melou"",""number"":33,""pos"":""M""},{""id"":83831,""name"":""I. Kebbal"",""number"":10,""pos"":""M""},{""id"":276662,""name"":""P. Pagis"",""number"":7,""pos"":""M""},{""id"":359603,""name"":""L. Koleosho"",""number"":15,""pos"":""M""},{""id"":90617,""name"":""L. Sinayoko"",""number"":9,""pos"":""F""}]","[{""id"":194981,""name"":""O. Nkambadio"",""number"":16,""pos"":""G""},{""id"":20869,""name"":""S. Chergui"",""number"":31,""pos"":""D""},{""id"":2202,""name"":""H. Traore"",""number"":14,""pos"":""D""},{""id"":8474,""name"":""T. De Smet"",""number"":28,""pos"":""D""},{""id"":1910,""name"":""M. Lopez"",""number"":20,""pos"":""M""},{""id"":505518,""name"":""P. Zabi"",""number"":8,""pos"":""M""},{""id"":20925,""name"":""V. Marchetti"",""number"":4,""pos"":""M""},{""id"":417550,""name"":""O. Sissoko"",""number"":18,""pos"":""F""},{""id"":2781,""name"":""M. Simon"",""number"":27,""pos"":""F""}]"
