original_path,new_path,detected_separator,rows,columns_count,file_type,detected_xg_columns,action,reason
data\external\understat\Understat\league-chemp (2).csv,data\external\understat\Understat\understat_league_table_001.csv,;,18,12,league_table,xG; xGA; xPTS,renamed,
data\external\understat\Understat\league-chemp (3).csv,data\external\understat\Understat\understat_league_table_002.csv,;,18,12,league_table,xG; xGA; xPTS,renamed,
data\external\understat\Understat\league-chemp.csv,data\external\understat\Understat\understat_league_table_003.csv,;,18,12,league_table,xG; xGA; xPTS,renamed,
data\external\understat\Understat\league-players.csv,data\external\understat\Understat\understat_player_stats_004.csv,;,550,11,player_stats,xG; xA; xG90; xA90,renamed,
data\external\understat\Understat\team-players.csv,data\external\understat\Understat\understat_player_stats_005.csv,;,28,13,player_stats,xG; xA; xG90; xA90,renamed,
data\external\understat\Understat\team-statistics (1).csv,data\external\understat\Understat\understat_team_situational_stats_006.csv,;,5,12,team_situational_stats,xG; xGA; xG_diff; xG90,renamed,aggregated situational team statistics by formation/game_state/minute/situation/shot_type
data\external\understat\Understat\team-statistics (2).csv,data\external\understat\Understat\understat_team_situational_stats_007.csv,;,5,12,team_situational_stats,xG; xGA; xG_diff; xG90,renamed,aggregated situational team statistics by formation/game_state/minute/situation/shot_type
data\external\understat\Understat\team-statistics (3).csv,data\external\understat\Understat\understat_team_situational_stats_008.csv,;,6,11,team_situational_stats,xG; xGA; xG_diff; xGperSh; xGAperSh,renamed,aggregated situational team statistics by formation/game_state/minute/situation/shot_type
data\external\understat\Understat\team-statistics (4).csv,data\external\understat\Understat\understat_team_situational_stats_009.csv,;,4,11,team_situational_stats,xG; xGA; xG_diff; xGperSh; xGAperSh,renamed,aggregated situational team statistics by formation/game_state/minute/situation/shot_type
data\external\understat\Understat\team-statistics (6).csv,data\external\understat\Understat\understat_team_situational_stats_010.csv,;,5,11,team_situational_stats,xG; xGA; xG_diff; xGperSh; xGAperSh,renamed,aggregated situational team statistics by formation/game_state/minute/situation/shot_type
data\external\understat\Understat\team-statistics.csv,data\external\understat\Understat\understat_team_situational_stats_011.csv,;,5,11,team_situational_stats,xG; xGA; xG_diff; xGperSh; xGAperSh,renamed,aggregated situational team statistics by formation/game_state/minute/situation/shot_type
